itrial,dataname,muh_fun,method,train_size,alpha,coverage,width,bootstrap_type,block_length
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.007865026005327921,0.3085063721465725,stationary,24
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.006089052391221616,0.33565281669367547,stationary,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.4845870861347203,4.963388055730269e-05,stationary,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.14423442851706203,0.004198581304627478,stationary,24
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9856653558289991,462.5320250368211,stationary,48
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9856653558289991,466.1373157468195,stationary,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9855385005708487,369.7602702779889,stationary,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9855385005708487,355.0399598402811,stationary,48
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8938221489280731,162.2159538083286,stationary,48
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8944564252188253,163.54365792136073,stationary,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8949638462514271,218.32821507478207,stationary,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.8935684384117721,209.98989824359174,stationary,48
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7894202714702524,82.33003657366932,stationary,48
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.7899276925028542,83.45606333030912,stationary,48
